TANGGAL,AKTUAL,PREDIKSI,PREDIKSI_MM,AKTUAL_MM
2024-01-06,1.0,0.6209307,71.65540278,115.4
2024-01-07,0.367816091954023,0.53995025,62.31025885,42.44597701149426
2024-01-08,1.0,0.753488,86.95251520000001,115.4
2024-01-09,0.193103448275862,0.5073056,58.54306624000001,22.284137931034476
2024-01-10,0.0,0.1030622,11.893377880000001,0.0
2024-01-11,1.0,0.44272614,51.090596556,115.4
2024-01-12,0.0,0.52709734,60.827033035999996,0.0
2024-01-13,0.0,0.28975722,33.437983188,0.0
2024-01-14,0.0,0.27456853,31.685208361999997,0.0
2024-01-15,0.032183908045977,0.11567981,13.349450074,3.7140229885057456
2024-01-16,0.0,0.12400953,14.310699762000002,0.0
2024-01-17,0.0,0.2568627,29.64195558,0.0
2024-01-18,1.0,0.54653287,63.069893197999995,115.4
2024-01-19,1.0,0.9066085,104.62262090000002,115.4
2024-01-20,1.0,1.0135143,116.95955022,115.4
2024-01-21,0.8367816091954022,0.046813853,5.4023186362,96.56459770114942
2024-01-22,0.6206896551724138,0.51042134,58.902622636,71.62758620689655
2024-01-23,1.0,0.43383935,50.065060990000006,115.4
2024-01-24,0.1241379310344827,0.63321275,73.07275135,14.325517241379304
2024-01-25,0.0,0.39604017,45.70303561800001,0.0
2024-01-26,0.5517241379310345,0.10585953,12.216189761999999,63.66896551724138
2024-01-27,1.0,0.44403508,51.241648232,115.4
2024-01-28,1.0,0.7334015,84.63453310000001,115.4
2024-01-29,1.0,0.5980322,69.01291588000001,115.4
2024-01-30,0.032183908045977,0.73254913,84.536169602,3.7140229885057456
2024-01-31,0.0735632183908046,0.37776366,43.593926364000005,8.48919540229885
2024-02-01,1.0,0.47767255,55.12341227,115.4
2024-02-02,0.0,0.17201531,19.850566774,0.0
2024-02-03,0.1793103448275862,0.5853856,67.55349824,20.692413793103448
2024-02-04,0.0689655172413793,0.4818872,55.609782880000004,7.958620689655171
2024-02-05,0.7494252873563219,0.47530022,54.849645388,86.48367816091955
2024-02-06,0.0,0.24143088,27.861123552,0.0
2024-02-07,1.0,0.5765724,66.53645496,115.4
2024-02-08,0.7172413793103448,0.5191507,59.90999078,82.76965517241379
